# Growth rate = 3.2000
# Number of generations	Populations
1364	0.513045
1365	0.799455
1366	0.513045
1367	0.799455
1368	0.513045
1369	0.799455
1370	0.513045
1371	0.799455
1372	0.513045
1373	0.799455
1374	0.513045
1375	0.799455
1376	0.513045
1377	0.799455
1378	0.513045
1379	0.799455
1380	0.513045
1381	0.799455
1382	0.513045
1383	0.799455
1384	0.513045
1385	0.799455
1386	0.513045
1387	0.799455
1388	0.513045
1389	0.799455
1390	0.513045
1391	0.799455
1392	0.513045
1393	0.799455
1394	0.513045
1395	0.799455
1396	0.513045
1397	0.799455
1398	0.513045
1399	0.799455
1400	0.513045
1401	0.799455
1402	0.513045
1403	0.799455
1404	0.513045
1405	0.799455
1406	0.513045
1407	0.799455
1408	0.513045
1409	0.799455
1410	0.513045
1411	0.799455
1412	0.513045
1413	0.799455
1414	0.513045
1415	0.799455
1416	0.513045
1417	0.799455
1418	0.513045
1419	0.799455
1420	0.513045
1421	0.799455
1422	0.513045
1423	0.799455
1424	0.513045
1425	0.799455
1426	0.513045
1427	0.799455
1428	0.513045
1429	0.799455
1430	0.513045
1431	0.799455
1432	0.513045
1433	0.799455
1434	0.513045
1435	0.799455
1436	0.513045
1437	0.799455
1438	0.513045
1439	0.799455
1440	0.513045
1441	0.799455
1442	0.513045
1443	0.799455
1444	0.513045
1445	0.799455
1446	0.513045
1447	0.799455
1448	0.513045
1449	0.799455
1450	0.513045
1451	0.799455
1452	0.513045
1453	0.799455
1454	0.513045
1455	0.799455
1456	0.513045
1457	0.799455
1458	0.513045
1459	0.799455
1460	0.513045
1461	0.799455
1462	0.513045
1463	0.799455
1464	0.513045
1465	0.799455
1466	0.513045
1467	0.799455
1468	0.513045
1469	0.799455
1470	0.513045
1471	0.799455
1472	0.513045
1473	0.799455
1474	0.513045
1475	0.799455
1476	0.513045
1477	0.799455
1478	0.513045
1479	0.799455
1480	0.513045
1481	0.799455
1482	0.513045
1483	0.799455
1484	0.513045
1485	0.799455
1486	0.513045
1487	0.799455
1488	0.513045
1489	0.799455
1490	0.513045
1491	0.799455
1492	0.513045
1493	0.799455
1494	0.513045
1495	0.799455
1496	0.513045
1497	0.799455
1498	0.513045
1499	0.799455
1500	0.513045
1501	0.799455
1502	0.513045
1503	0.799455
1504	0.513045
1505	0.799455
1506	0.513045
1507	0.799455
1508	0.513045
1509	0.799455
1510	0.513045
1511	0.799455
1512	0.513045
1513	0.799455
1514	0.513045
1515	0.799455
1516	0.513045
1517	0.799455
1518	0.513045
1519	0.799455
1520	0.513045
1521	0.799455
1522	0.513045
1523	0.799455
1524	0.513045
1525	0.799455
1526	0.513045
1527	0.799455
1528	0.513045
1529	0.799455
1530	0.513045
1531	0.799455
1532	0.513045
1533	0.799455
1534	0.513045
1535	0.799455
1536	0.513045


0.000000	336.000000
0.001957	0.000000
0.003914	0.000000
0.005871	0.000000
0.007828	0.000000
0.009785	0.000000
0.011742	0.000000
0.013699	0.000000
0.015656	0.000000
0.017613	0.000000
0.019569	0.000000
0.021526	0.000000
0.023483	0.000000
0.025440	0.000000
0.027397	0.000000
0.029354	0.000000
0.031311	0.000000
0.033268	0.000000
0.035225	0.000000
0.037182	0.000000
0.039139	0.000000
0.041096	0.000000
0.043053	0.000000
0.045010	0.000000
0.046967	0.000000
0.048924	0.000000
0.050881	0.000000
0.052838	0.000000
0.054795	0.000000
0.056751	0.000000
0.058708	0.000000
0.060665	0.000000
0.062622	0.000000
0.064579	0.000000
0.066536	0.000000
0.068493	0.000000
0.070450	0.000000
0.072407	0.000000
0.074364	0.000000
0.076321	0.000000
0.078278	0.000000
0.080235	0.000000
0.082192	0.000000
0.084149	0.000000
0.086106	0.000000
0.088063	0.000000
0.090020	0.000000
0.091977	0.000000
0.093933	0.000000
0.095890	0.000000
0.097847	0.000000
0.099804	0.000000
0.101761	0.000000
0.103718	0.000000
0.105675	0.000000
0.107632	0.000000
0.109589	0.000000
0.111546	0.000000
0.113503	0.000000
0.115460	0.000000
0.117417	0.000000
0.119374	0.000000
0.121331	0.000000
0.123288	0.000000
0.125245	0.000000
0.127202	0.000000
0.129159	0.000000
0.131115	0.000000
0.133072	0.000000
0.135029	0.000000
0.136986	0.000000
0.138943	0.000000
0.140900	0.000000
0.142857	0.000000
0.144814	0.000000
0.146771	0.000000
0.148728	0.000000
0.150685	0.000000
0.152642	0.000000
0.154599	0.000000
0.156556	0.000000
0.158513	0.000000
0.160470	0.000000
0.162427	0.000000
0.164384	0.000000
0.166341	0.000000
0.168297	0.000000
0.170254	0.000000
0.172211	0.000000
0.174168	0.000000
0.176125	0.000000
0.178082	0.000000
0.180039	0.000000
0.181996	0.000000
0.183953	0.000000
0.185910	0.000000
0.187867	0.000000
0.189824	0.000000
0.191781	0.000000
0.193738	0.000000
0.195695	0.000000
0.197652	0.000000
0.199609	0.000000
0.201566	0.000000
0.203523	0.000000
0.205479	0.000000
0.207436	0.000000
0.209393	0.000000
0.211350	0.000000
0.213307	0.000000
0.215264	0.000000
0.217221	0.000000
0.219178	0.000000
0.221135	0.000000
0.223092	0.000000
0.225049	0.000000
0.227006	0.000000
0.228963	0.000000
0.230920	0.000000
0.232877	0.000000
0.234834	0.000000
0.236791	0.000000
0.238748	0.000000
0.240705	0.000000
0.242661	0.000000
0.244618	0.000000
0.246575	0.000000
0.248532	0.000000
0.250489	0.000000
0.252446	0.000000
0.254403	0.000000
0.256360	0.000000
0.258317	0.000000
0.260274	0.000000
0.262231	0.000000
0.264188	0.000000
0.266145	0.000000
0.268102	0.000000
0.270059	0.000000
0.272016	0.000000
0.273973	0.000000
0.275930	0.000000
0.277886	0.000000
0.279843	0.000000
0.281800	0.000000
0.283757	0.000000
0.285714	0.000000
0.287671	0.000000
0.289628	0.000000
0.291585	0.000000
0.293542	0.000000
0.295499	0.000000
0.297456	0.000000
0.299413	0.000000
0.301370	0.000000
0.303327	0.000000
0.305284	0.000000
0.307241	0.000000
0.309198	0.000000
0.311155	0.000000
0.313112	0.000000
0.315068	0.000000
0.317025	0.000000
0.318982	0.000000
0.320939	0.000000
0.322896	0.000000
0.324853	0.000000
0.326810	0.000000
0.328767	0.000000
0.330724	0.000000
0.332681	0.000000
0.334638	0.000000
0.336595	0.000000
0.338552	0.000000
0.340509	0.000000
0.342466	0.000000
0.344423	0.000000
0.346380	0.000000
0.348337	0.000000
0.350294	0.000000
0.352250	0.000000
0.354207	0.000000
0.356164	0.000000
0.358121	0.000000
0.360078	0.000000
0.362035	0.000000
0.363992	0.000000
0.365949	0.000000
0.367906	0.000000
0.369863	0.000000
0.371820	0.000000
0.373777	0.000000
0.375734	0.000000
0.377691	0.000000
0.379648	0.000000
0.381605	0.000000
0.383562	0.000000
0.385519	0.000000
0.387476	0.000000
0.389432	0.000000
0.391389	0.000000
0.393346	0.000000
0.395303	0.000000
0.397260	0.000000
0.399217	0.000000
0.401174	0.000000
0.403131	0.000000
0.405088	0.000000
0.407045	0.000000
0.409002	0.000000
0.410959	0.000000
0.412916	0.000000
0.414873	0.000000
0.416830	0.000000
0.418787	0.000000
0.420744	0.000000
0.422701	0.000000
0.424658	0.000000
0.426614	0.000000
0.428571	0.000000
0.430528	0.000000
0.432485	0.000000
0.434442	0.000000
0.436399	0.000000
0.438356	0.000000
0.440313	0.000000
0.442270	0.000000
0.444227	0.000000
0.446184	0.000000
0.448141	0.000000
0.450098	0.000000
0.452055	0.000000
0.454012	0.000000
0.455969	0.000000
0.457926	0.000000
0.459883	0.000000
0.461840	0.000000
0.463796	0.000000
0.465753	0.000000
0.467710	0.000000
0.469667	0.000000
0.471624	0.000000
0.473581	0.000000
0.475538	0.000000
0.477495	0.000000
0.479452	0.000000
0.481409	0.000000
0.483366	0.000000
0.485323	0.000000
0.487280	0.000000
0.489237	0.000000
0.491194	0.000000
0.493151	0.000000
0.495108	0.000000
0.497065	0.000000
0.499022	0.000000
0.500978	73.320960
